### food
la comida,food
la manzana,apple
la naranja,orange
la leche,milk
el pan,bread
la banana,banana
el limón,lemon
el pollo,chicken
la carne de res,beef
la carne de cerdo,pork
la carne de cordero,mutton
el salmón,salmon
la langosta,lobster
el arroz,rice
la pasta,pasta
el pan,bread
el queso,cheese
la mantequilla,butter
el yogur,yoghurt
el halado,ice cream
el jamón,ham
el bollo,bake roll / bun
el pastel,cake
la sopa,soup
la cerveza,beer
el vino,wine
la vodka,vodka
el zumo,juice
el agua,water
el refresco,soft drink
el té,tea
el café,coffee
la leche,milk
el huevo,egg
el tocino,bacon
el queso crema,creme cheese
el tomate,tomato
el pepino,cucumber
la pimento,paprica
la cebolla,onion
la zanahoria,carrot
la patata,potato
la verdura,vegetable
la fruta,fruit
la carne,meat
la ensalada,salad
el pescado,fish
el sandwich,sandwich
la tortilla,omlette
la paella,paella
la tapa,appetizer
la salsa,sauce
el bocadillo,spanish sandwich
el plátano,platain
la frita,french fry


### travel
el hotel,hotel
la visita guiada,guided tour
el restaurante,restaurant
el museo,museum
el parque,park
el parque nacional,national park
las vacaciones,vacations
el viaje,tour
el camping,camping
el sanderismo,hiking
la pisciña,swimming pool
la tienda de recuerdos,souvenir shop
el picnic,picnic
el festival,festival
el spa,spa
la torre de observación,observation tower
la torre,tower
el castillo,castle
las ruinas,ruins
el faro,lighthouse


### geography
la ciudad,city
el pueblo,town
la aldea,village
el pais,country
el sol,sun
la luna,moon
el continente,continent
el planeta,planet
el notre,north
el sur,south
el este,east
el oestre,west
Polonia,Poland
España,Spain
Francia,France
Alemania,Germany
Italia,Italy
Reino Unido,United Kingdom
Inglaterra,England
Russia,Russia
China,China
India,India
Europa,Europe
Asia,Asia
América del Notre,North America
América del Sur,South America
Australia,Australia


### transport
el coche,car
el autobús,bus
el metro,metro
el tren,train
la bicicleta,bicycle
la motocicleta,motorcycle
el avión,plane
el barco,ship
la calle,street
el cruce,intersection
los semáforos,traffic lights
la parada del autobús,bus stop
el billeto,ticket
la estación,station


### beach
la arena,sand
la ola,wave
la playa,beach
el protector solar,sunscreen
el bañador,swimsuit
las gafas del sol,sunglasses
la concha,shell
la sombrilla,umbrella
la hamaca,beach chair
el cubo,bucket
la pala,spade
el castillo de arena,sandcastle
la sombra,shade


### hotel
la recepción,reception
la cama,bed
el servicio de habitaciones,room service
